[Sun Jul 24 14:32:15.608773 2016] [rewrite:trace3] [pid 64729] mod_rewrite.c(475): [client 193.6.194.38:44201] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98645b72f8/initial/redir#1] [perdir /] applying pattern '^(.+)$' to uri 'var/www/infra2/index.php', referer: http://e-magyar.hu/
[Sun Jul 24 14:32:15.608790 2016] [rewrite:trace4] [pid 64729] mod_rewrite.c(475): [client 193.6.194.38:44201] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98645b72f8/initial/redir#1] [perdir /] RewriteCond: input='/var/www/infra2/index.php' pattern='!-d' => matched, referer: http://e-magyar.hu/
[Sun Jul 24 14:32:15.608802 2016] [rewrite:trace4] [pid 64729] mod_rewrite.c(475): [client 193.6.194.38:44201] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98645b72f8/initial/redir#1] [perdir /] RewriteCond: input='/var/www/infra2/index.php' pattern='!-f' => not-matched, referer: http://e-magyar.hu/
[Sun Jul 24 14:32:15.608817 2016] [rewrite:trace1] [pid 64729] mod_rewrite.c(475): [client 193.6.194.38:44201] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98645b72f8/initial/redir#1] [perdir /] pass through /var/www/infra2/index.php, referer: http://e-magyar.hu/
[Sun Jul 24 14:32:17.990990 2016] [rewrite:trace3] [pid 64730] mod_rewrite.c(475): [client 193.6.194.38:44208] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98648a20a0/initial] [perdir /] strip per-dir prefix: /var/www/infra2/parser -> var/www/infra2/parser, referer: http://e-magyar.hu/intro
[Sun Jul 24 14:32:17.991039 2016] [rewrite:trace3] [pid 64730] mod_rewrite.c(475): [client 193.6.194.38:44208] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98648a20a0/initial] [perdir /] applying pattern '^(.+)$' to uri 'var/www/infra2/parser', referer: http://e-magyar.hu/intro
[Sun Jul 24 14:32:17.991068 2016] [rewrite:trace4] [pid 64730] mod_rewrite.c(475): [client 193.6.194.38:44208] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98648a20a0/initial] [perdir /] RewriteCond: input='/var/www/infra2/parser' pattern='!-d' => matched, referer: http://e-magyar.hu/intro
[Sun Jul 24 14:32:17.991082 2016] [rewrite:trace4] [pid 64730] mod_rewrite.c(475): [client 193.6.194.38:44208] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98648a20a0/initial] [perdir /] RewriteCond: input='/var/www/infra2/parser' pattern='!-f' => matched, referer: http://e-magyar.hu/intro
[Sun Jul 24 14:32:17.991092 2016] [rewrite:trace2] [pid 64730] mod_rewrite.c(475): [client 193.6.194.38:44208] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98648a20a0/initial] [perdir /] rewrite 'var/www/infra2/parser' -> 'index.php?var/www/infra2/parser', referer: http://e-magyar.hu/intro
[Sun Jul 24 14:32:17.991104 2016] [rewrite:trace3] [pid 64730] mod_rewrite.c(475): [client 193.6.194.38:44208] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98648a20a0/initial] split uri=index.php?var/www/infra2/parser -> uri=index.php, args=var/www/infra2/parser, referer: http://e-magyar.hu/intro
